Name,Number_A,Number_B
Adeel Slater,1,24
Luna Kidd,8,27
Tea Cousins,34,87
Vivaan Mccoy,70,41
Lacey-May Jeffery,21,8
Emilija Velasquez,10,23
Lorna Phillips,5,91
Sabrina Griffiths,40,44
Cairon Randall,69,47
Mcauley Davenport,88,64
Walter Akhtar,58,51
Ptolemy Mcarthur,34,34
Mikhail Moreno,3,75
John-James North,34,4
Jaya Haynes,89,28
Sila Marriott,28,43
Hania Busby,8,80
Charis Todd,68,59
Tyreece Squires,57,63
Pawel Sharma,42,80
Gracey Christensen,54,42
Edmund Molloy,99,97
Zak Weaver,5,71
Mollie York,11,15
Levison Pace,47,50
Estelle Patton,64,58
Madison Sherman,145,14
Prince Bonner,151,5
Leen Lewis,63,85
Iqra Allman,35,97
Jamie-Lee Sloan,3,35
Shantelle Power,25,82
Ciara Rigby,58,73
Aneesha Dougherty,9,66
Awais Rodriguez,52,51
Melvin Buckley,83,83
Aleksandra Downs,51,43
Kyran Francis,48,50
Charli Mcguire,12,14
